id,car_variant,odometer_reading,vehicle_fuel_type,vehicle_make,vehicle_model,city,car_valuation,months_since_manufactured
649,N6,50913.0,DIESEL,MAHINDRA,NUVOSPORT,SOUTH DELHI,355363,8
685,XMA,131290.0,DIESEL,TATA,HEXA,LUCKNOW,946342,7
376,VXI,48544.0,PETROL,MARUTI,S-PRESSO,UDAIPUR,506000,4
110,VXI BS IV,,PETROL,MARUTI,WAGON R,BANGALORE,405266,9
777,LXI,68905.0,PETROL,MARUTI,SWIFT,GHAZIABAD,473019,5
726,LXI,55091.0,PETROL,MARUTI,SWIFT,FARIDABAD,574200,4
353,W8,34029.0,DIESEL,MAHINDRA,XUV300,AHMEDABAD,1276320,2
587,ZETA,46610.0,PETROL,MARUTI,BALENO,KRISHNAGIRI,630863,5
563,1.2 KAPPA ASTA,65713.0,PETROL + CNG,HYUNDAI,GRAND I10,DELHI,484703,8
631,2.0 TDI,,DIESEL,AUDI,A6 ,BANGALORE,1952066,11
266,VXI OPT,62261.0,PETROL,MARUTI,WAGON R,CHENNAI,499500,6
358,V W POLO 1 0L MPI,,PETROL,VOLKSWAGEN,V W POLO 1 0L MPI,HYDERABAD,705434,5
646,S,30691.0,PETROL,HYUNDAI,VENUE,UDAIPUR,903200,2
565,ASTA OPT,35748.0,PETROL,HYUNDAI,I20,MANGALURU,660789,6
289,RXL,33395.0,PETROL,RENAULT,TRIBER,PUNE,616665,3
153,FORD FIGO ASPIRE 1 5D TIT,,DIESEL,FORD INDIA P LTD,FORD FIGO ASPIRE 1 5D TIT,COIMBATORE,610473,7
396,1.5 E MT,49394.0,PETROL,HONDA,CITY,DELHI,628097,9
125,3.0 DIESEL,89380.0,DIESEL,TOYOTA,FORTUNER,LUDHIANA,1577825,10
195,RXL AWD,30201.0,PETROL,RENAULT,DUSTER,NAVI MUMBAI,507000,10
193,SMARTI HYBRID ZETA,,PETROL,MARUTI,XL6,RAJKOT,873918,5
270,RXE,2720.0,PETROL,RENAULT,KIGER,DELHI,636600,2
62,D75 K6 PLUS,75000.0,PETROL,MAHINDRA,KUV 100,LUCKNOW,343303,8
404,HONDA BRIO 1 2 VXAT,,PETROL,HONDA CARS LTD,HONDA BRIO 1 2 VXAT,COIMBATORE,395943,10
762,ASPIRE 1.5TDCI,,DIESEL,FORD,FIGO,FARIDABAD,268080,9
330,5 SEATER AC,39175.0,PETROL + CNG,MARUTI,EECO,THANE,538000,4
425,1.0 ECOBOOST TITANIUM,65789.0,PETROL,FORD,ECOSPORT,SANGLI,424724,11
543,VXI OPTIONAL,35498.0,PETROL,MARUTI,ALTO K10,UDAIPUR,342894,5
71,1.6 CRDI AT SX OPTION,71810.0,DIESEL,HYUNDAI,VERNA,KARNATAKA,917200,7
758,CNG 5 SEATER AC,74612.0,PETROL + CNG,MARUTI,EECO,BHIWANDI,453100,6
519,SPORTZ 1.2,22472.0,PETROL,HYUNDAI,I20,UDAIPUR,558000,6
553,SX CRDI AT,,DIESEL,HYUNDAI,VERNA ,HYDERABAD,525879,13
667,TOUR S STD,88281.0,PETROL + CNG,MARUTI,SWIFT DZIRE,PUNE,609081,3
233,GREEN LXI,,PETROL,MARUTI,ALTO 800,NEW DELHI,350807,5
770,VXI,53959.0,PETROL,MARUTI,SWIFT,CHENNAI,677300,4
547,VXI,36038.0,PETROL,MARUTI,SWIFT,EAST DELHI,652756,3
184,1.6 CRDI SX,82150.0,DIESEL,HYUNDAI,VERNA,SURAT,476200,10
174,BOLERO POWER PLUS ZLX,,DIESEL,MAHINDRA,BOLERO POWER PLUS ZLX,HYDERABAD,733137,7
550,XUV 500 FWD W8,,DIESEL,MAHINDRA,XUV 500 FWD W8,HYDERABAD,788930,10
497,VXI,2191.0,PETROL,MARUTI,CELERIO,SALEM,523921,2
360,VXI,55703.0,PETROL + CNG,MARUTI,SWIFT,FARIDABAD,613397,4
564,85PS DIESEL RXL,,DIESEL,RENAULT,DUSTER ,DELHI,679750,9
31,ZDI PLUS,85446.0,DIESEL,MARUTI,ERTIGA,JANGAON,840400,7
207,1.2 REVOTRON XZ,34273.0,PETROL,TATA,TIAGO,UTTAR PRADESH,480000,5
576,LXI,41631.0,PETROL + CNG,MARUTI,WAGON R,FARIDABAD,337362,7
366,LXI,72973.0,PETROL,MARUTI,WAGON R,UDAIPUR,400000,10
528,ERA PLUS,44255.0,PETROL,HYUNDAI,EON,UDAIPUR,274242,9
114,LXI CNG,,PETROL,MARUTI,ALTO 800,RAJKOT,318839,6
757,RXT,,PETROL,RENAULT,KWID,CHENNAI,313520,9
22,HYBRID DELTA,123154.0,DIESEL,MARUTI,CIAZ HYBRID,DELHI,500878,7
737,VDI,76348.0,DIESEL,MARUTI,CIAZ,BIJAPUR,599000,10
604,XZ,18494.0,PETROL,TATA,ALTROZ,UDAIPUR,759772,3
508,BREZZA VDI,,DIESEL,MARUTI,VITARA BREZZA VDI,THIRUVADANAI TK,818367,6
511,LXI CNG,41145.0,PETROL + CNG,MARUTI,WAGON R,GURUGRAM,639400,3
